label,code,country,symbol
Pound Sterling,gbp,United Kingdom,£
Euro,eur,Europe,€
Canadian Dollar,cad,Canada,$
United States Dollar,usd,United States,$
Polish Złoty,pln,Poland,Ƶ
Australian Dollar,aud,Australia,$
Brazilian Real,brl,Brazil,
Swiss Franc,chf,Switzerland,F
Chinese Yuan,cny,China,
Danish Krone,dkk,Denmark,K
Hong Kong Dollar,hkd,Hong Kong,
Indian Rupee,inr,India,R
Japanese Yen,jpy,Japan,¥
Korea Won,krw,Korea,
Sri Lanka Rupee,lkr,Sri Lanka,
Malasian Ringgit,myr,Malasia,
New Zealand Dollar,nzd,New Zealand,
Singapore Dollar,sgd,Singapore,
Taiwan Dollar,twd,Taiwan,
South African Rand,zar,South Africa,R
Venezuelan Bolivar,veb,Venezuela,
Thai Baht,thb,Thailand,
Swedish Krona,sek,Sweden,K
Norwegian Krone,nok,Norway,K
Mexican Peso,mxn,Mexico,
Bulgarian Lev,bgn,Bulgaria,
Czech Koruna,czk,Czech Republic,
Estonian Kroon,eek,Estonia,
Hungarian Forint,huf,Hungary,
Lithuanian Litas,ltl,Lithuania,
Latvian Lats,lvl,Latvia,
New Romanian Leu,ron,Romania,
Slovak Koruna,skk,Slovakia,
Icelandic Krona,isk,Iceland,
Croatian Kuna,hrk,Croatia,
Russian Rouble,rub,Russia,
New Turkish Lira,try,Turcode,
Philippine Peso,php,Philippines,
Colombian Peso,cop,Colombia,
Argentine Peso,ars,Argentina,
Chilean Peso,clp,Chile,
Salvadoran colon,svc,El Salvador,
Tunisian Dinar,tnd,Tunisia,
Paraguay Guarani,pyg,Paraguay,
Moroccan Dirham,mad,Morocco,
Jamaican Dollar,jmd,Jamaica,$
Saudi Arabian Riyal,sar,Saudi Arabia,
Qatari Riyal,qar,Qatar,
Honduran Lempira,hnl,Honduras,
